SubscriptionGuid,ResourceGroup,ResourceLocation,UsageDateTime,MeterCategory,MeterSubCategory,MeterId,MeterName,MeterRegion,UsageQuantity,ResourceRate,PreTaxCost,ConsumedService,ResourceType,InstanceId,Tags,OfferId,AdditionalInfo,ServiceInfo1,ServiceInfo2,ServiceName,ServiceTier,Currency,UnitOfMeasure
82acd5bb-4206-47d4-9c12-a65db028483d,MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3,westus3,2025-06-17,Virtual Machines,Dv2/DSv2 Series,18d90457-7a62-5159-99dd-2d0f41103734,D2 v2/DS2 v2,US West 3,15,0.06745380000000001,1.0118070000000001,Microsoft.Compute,Microsoft.Compute/virtualMachineScaleSets,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourceGroups/MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3/providers/Microsoft.Compute/virtualMachineScaleSets/aks-nodepool1-37076539-vmss,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,"{""UsageType"":""ComputeHR"",""ImageType"":""Canonical"",""ServiceType"":""Standard_DS2_v2"",""VMName"":""aks-nodepool1-37076539-vmss_1"",""VMSSName"":""aks-nodepool1-37076539-vmss"",""VMProperties"":""Microsoft.AKS.Compute.AKS.Linux.Billing"",""VCPUs"":2,""ConsumedQuantity"":1.0}",,,Virtual Machines,Dv2/DSv2 Series,USD,1 Hour
82acd5bb-4206-47d4-9c12-a65db028483d,MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3,westus3,2025-06-16,Virtual Machines,Dv2/DSv2 Series,18d90457-7a62-5159-99dd-2d0f41103734,D2 v2/DS2 v2,US West 3,0.733348,0.06745380000000001,0.049467109322400005,Microsoft.Compute,Microsoft.Compute/virtualMachineScaleSets,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourceGroups/MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3/providers/Microsoft.Compute/virtualMachineScaleSets/aks-nodepool1-37076539-vmss,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,"{""UsageType"":""ComputeHR"",""ImageType"":""Canonical"",""ServiceType"":""Standard_DS2_v2"",""VMName"":""aks-nodepool1-37076539-vmss_0"",""VMSSName"":""aks-nodepool1-37076539-vmss"",""VMProperties"":""Microsoft.AKS.Compute.AKS.Linux.Billing"",""VCPUs"":2,""ConsumedQuantity"":0.733348}",,,Virtual Machines,Dv2/DSv2 Series,USD,1 Hour
82acd5bb-4206-47d4-9c12-a65db028483d,mc_akhantimirov_akhantimirov-aks_westus3,westus3,2025-06-17,Bandwidth,Rtn Preference: MGN,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Standard Data Transfer Out,All,0.00467736925929785,0.00582,0.00002722228908911349,microsoft.compute,microsoft.compute/virtualmachinescalesets,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourcegroups/mc_akhantimirov_akhantimirov-aks_westus3/providers/microsoft.compute/virtualmachinescalesets/aks-nodepool1-37076539-vmss,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-37076539-vmss_1"",""ContainerId"":""b61928c3-3d5a-4683-9f39-aab5201c9779"",""NodeId"":""1d59505f-1659-37b4-ae27-d2caaed8fa02""}",,,Bandwidth,Rtn Preference: MGN,USD,1 GB
82acd5bb-4206-47d4-9c12-a65db028483d,mc_akhantimirov_akhantimirov-aks_westus3,westus3,2025-06-17,Bandwidth,Inter-Region,dbefcfc1-e3f6-409b-be6d-9cd7b00724a5,Intra Continent Data Transfer Out,North America,0.005861426703631873,0.003686,0.00002160521882958708,microsoft.compute,microsoft.compute/virtualmachinescalesets,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourcegroups/mc_akhantimirov_akhantimirov-aks_westus3/providers/microsoft.compute/virtualmachinescalesets/aks-nodepool1-37076539-vmss,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-37076539-vmss_1"",""ContainerId"":""b61928c3-3d5a-4683-9f39-aab5201c9779"",""NodeId"":""1d59505f-1659-37b4-ae27-d2caaed8fa02""}",,,Bandwidth,Inter-Region,USD,1 GB
82acd5bb-4206-47d4-9c12-a65db028483d,MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3,westus3,2025-06-17,Microsoft Defender for Cloud,Microsoft Defender CSPM,5c3a13cf-f401-5070-b805-5834ab6dcfd3,Standard Node,Global,19,0.0033271,0.06321489999999999,Microsoft.Compute,Microsoft.Compute/virtualMachineScaleSets,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourceGroups/MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3/providers/Microsoft.Compute/virtualMachineScaleSets/aks-nodepool1-37076539-vmss/virtualMachines/1,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,"{""Cloud"":""Azure""}",,,Microsoft Defender for Cloud,Microsoft Defender CSPM,USD,1/Hour
82acd5bb-4206-47d4-9c12-a65db028483d,MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3,westus3,2025-06-16,Microsoft Defender for Cloud,Microsoft Defender CSPM,5c3a13cf-f401-5070-b805-5834ab6dcfd3,Standard Node,Global,23,0.0033271,0.0765233,Microsoft.Compute,Microsoft.Compute/virtualMachineScaleSets,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourceGroups/MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3/providers/Microsoft.Compute/virtualMachineScaleSets/aks-nodepool1-37076539-vmss/virtualMachines/0,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,"{""Cloud"":""Azure""}",,,Microsoft Defender for Cloud,Microsoft Defender CSPM,USD,1/Hour
82acd5bb-4206-47d4-9c12-a65db028483d,MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3,westus3,2025-06-17,Storage,Premium SSD Managed Disks,bc5f98a2-5e69-5dd7-a1cb-1bf2db6e8b00,P10 LRS Disk,US West 3,0.026391,2.781184,0.07339822694400001,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourceGroups/MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3/providers/Microsoft.Compute/disks/aks-nodepool1-370765aks-nodepool1-3707653disk1_964f9f8577eb4d08820be048332a44f5,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,,,,Storage,Premium SSD Managed Disks,USD,1/Month
82acd5bb-4206-47d4-9c12-a65db028483d,mc_akhantimirov_akhantimirov-aks_westus3,westus3,2025-06-17,Bandwidth,Rtn Preference: MGN,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Standard Data Transfer Out,All,0.001544754020869734,0.00582,0.000008990468401461852,microsoft.compute,microsoft.compute/virtualmachinescalesets,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourcegroups/mc_akhantimirov_akhantimirov-aks_westus3/providers/microsoft.compute/virtualmachinescalesets/aks-nodepool1-37076539-vmss,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-37076539-vmss_0"",""ContainerId"":""52b779cb-7d98-4af0-b089-9d0e6ffa6882"",""NodeId"":""5f1f9316-94cd-d071-d9f1-e2ba81d136ef""}",,,Bandwidth,Rtn Preference: MGN,USD,1 GB
82acd5bb-4206-47d4-9c12-a65db028483d,MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3,westus3,2025-06-16,Storage,Standard SSD Managed Disks,ce957933-8287-4f8b-83ee-53a5cbe056d9,E4 LRS Disk Operations,All,0.387,0.0003104,0.0001201248,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourceGroups/MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3/providers/Microsoft.Compute/disks/pvc-d5191b8c-29c3-4ea7-82d4-94a841e86c1f,"{""k8s-azure-created-by"":""kubernetes-azure-dd"",""kubernetes.io-created-for-pv-name"":""pvc-d5191b8c-29c3-4ea7-82d4-94a841e86c1f"",""kubernetes.io-created-for-pvc-name"":""cost-analysis-agent-victoria-metrics"",""kubernetes.io-created-for-pvc-namespace"":""kube-system""}",MS-AZR-0015P,,,,Storage,Standard SSD Managed Disks,USD,10K
82acd5bb-4206-47d4-9c12-a65db028483d,mc_akhantimirov_akhantimirov-aks_westus3,westus3,2025-06-16,Bandwidth,Rtn Preference: MGN,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Standard Data Transfer Out,All,0.003535404801368713,0.00582,0.00002057605594396591,microsoft.compute,microsoft.compute/virtualmachinescalesets,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourcegroups/mc_akhantimirov_akhantimirov-aks_westus3/providers/microsoft.compute/virtualmachinescalesets/aks-nodepool1-37076539-vmss,"{""aks-managed-azure-cni-overlay"":""true"",""aks-managed-bootstrap-profile-acr-name"":"""",""aks-managed-consolidated-additional-properties"":""c6429b3c-4a46-11f0-bf0b-deeb145efe4a"",""aks-managed-createOperationID"":""5304018c-4082-4dd8-a4e6-80c0983d0ebe"",""aks-managed-creationSource"":""vmssclient-aks-nodepool1-37076539-vmss"",""aks-managed-enable-imds-restriction"":""false"",""aks-managed-kubeletIdentityClientID"":""30096411-8220-4f34-85c9-12c71e9fde21"",""aks-managed-orchestrator"":""Kubernetes:1.31.8"",""aks-managed-poolName"":""nodepool1"",""aks-managed-resourceNameSuffix"":""40896765"",""aks-managed-ssh-access"":""LocalUser"",""azsecpack"":""nonprod"",""platformsettings.host_environment.service.platform_optedin_for_rootcerts"":""true""}",MS-AZR-0015P,"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-37076539-vmss_0"",""ContainerId"":""52b779cb-7d98-4af0-b089-9d0e6ffa6882"",""NodeId"":""5f1f9316-94cd-d071-d9f1-e2ba81d136ef""}",,,Bandwidth,Rtn Preference: MGN,USD,1 GB
82acd5bb-4206-47d4-9c12-a65db028483d,mc_akhantimirov_akhantimirov-aks_westus3,westus3,2025-06-17,Load Balancer,All,27827eb0-7f60-4928-940b-f5fe15e7a4cb,Standard Included LB Rules and Outbound Rules,Global,21,0.00582,0.12222,microsoft.network,microsoft.network/loadbalancers,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourcegroups/mc_akhantimirov_akhantimirov-aks_westus3/providers/microsoft.network/loadbalancers/kubernetes,"{""aks-managed-cluster-name"":""akhantimirov-aks"",""aks-managed-cluster-rg"":""akhantimirov""}",MS-AZR-0015P,,,,Load Balancer,All,USD,1 Hour
82acd5bb-4206-47d4-9c12-a65db028483d,MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3,westus3,2025-06-17,Storage,Standard SSD Managed Disks,fe718ab7-0055-547f-95ac-0da50be77174,E2 LRS Disk,US West 3,0.029169,0.09312,0.00271621728,Microsoft.Compute,Microsoft.Compute/disks,/subscriptions/82acd5bb-4206-47d4-9c12-a65db028483d/resourceGroups/MC_AKHANTIMIROV_AKHANTIMIROV-AKS_WESTUS3/providers/Microsoft.Compute/disks/pvc-d5191b8c-29c3-4ea7-82d4-94a841e86c1f,"{""k8s-azure-created-by"":""kubernetes-azure-dd"",""kubernetes.io-created-for-pv-name"":""pvc-d5191b8c-29c3-4ea7-82d4-94a841e86c1f"",""kubernetes.io-created-for-pvc-name"":""cost-analysis-agent-victoria-metrics"",""kubernetes.io-created-for-pvc-namespace"":""kube-system""}",MS-AZR-0015P,,,,Storage,Standard SSD Managed Disks,USD,1/Month
